Group.1;Primer;Lab_id;Sample_id;Layer;Year_excavated;Field_id;Cave;X_coord;Y_coord;Group;Type
BBO016BR3_s_2;Mamp007;BBO016BR3;BBO016;L2;2021;B-GR-OU3006, B-GR-OU3012, B-S-OU3007, B-GR-OU3019, B-GR-OU3024, B-GR-OU3025, B-GR-OU3026, B-GR-OU3027, B-GR-OU3028;NO;99;51;Unidentified;Bulk bone
BBO024BR1_2_s_2;Mamp007;BBO024BR1;BBO024;K1;2021;B-GR-OL2002, B-GR-OL2003, B-GR-OL2004, B-GR-OL2005, B-GR-OL2006, B-GR-OL2007;NO;99;51;Mammal;Bulk bone
BBO024BR1_s_1;Mamp007;BBO024BR1;BBO024;K1;2021;B-GR-OL2002, B-GR-OL2003, B-GR-OL2004, B-GR-OL2005, B-GR-OL2006, B-GR-OL2007;NO;99;51;Mammal;Bulk bone
BBO024BR2_2_s_2;Mamp007;BBO024BR2;BBO024;K1;2021;B-GR-OL2002, B-GR-OL2003, B-GR-OL2004, B-GR-OL2005, B-GR-OL2006, B-GR-OL2007;NO;99;51;Mammal;Bulk bone
BBO024BR2_s_1;Mamp007;BBO024BR2;BBO024;K1;2021;B-GR-OL2002, B-GR-OL2003, B-GR-OL2004, B-GR-OL2005, B-GR-OL2006, B-GR-OL2007;NO;99;51;Mammal;Bulk bone
BBO025_2_s_2;Mamp007;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentified;Bulk bone
BBO025_s_1;Mamp007;BBO025NBR;BBO025;K1;2021;B-GR-OL2001, B-GR-OL2007;NO;99;51;Unidentified;Bulk bone
BBO029_s_2;Mamp007;BBO029NBR;BBO029;K2;2021;B-GR-OL3001;NO;99;51;Unidentified;Bulk bone
BBO030_2_s_2;Mamp007;BBO030NBR;BBO030;K2;2021;B-S-OL3001, B-GR-OL3002;NO;99;51;Mammal;Bulk bone
BBO030_s_1;Mamp007;BBO030NBR;BBO030;K2;2021;B-S-OL3001, B-GR-OL3002;NO;99;51;Mammal;Bulk bone
BBO035_s_1;Mamp007;BBO035NBR;BBO035;L1;2021;B-GR-OU2009, B-GR-OU2011;NO;99;51;Unidentified;Bulk bone
AB062EXB2;Mamp007;AB062EB2;AB062EB;N/A;2022;N/A;NO;N/A;N/A;N/A;Extraction_blank
BBO010NBR;Mamp007;BBO010NBR;BBO010;L2;2021;B-GR-OM2001, B-GR-OM2002;NO;99;51;Unidentified;Bulk bone
BBO020BR1;Mamp007;BBO020BR1;BBO020;LU;2021;B-GR-OU4001, B-GR-OU4002, B-GR-OU4005, B-GR-OU4007, B-GR-OU4008, B-S-OU3003, B-S-OU3004;NO;99;51;Mammal;Bulk bone
BBO020BR2;Mamp007;BBO020BR2;BBO020;LU;2021;B-GR-OU4001, B-GR-OU4002, B-GR-OU4005, B-GR-OU4007, B-GR-OU4008, B-S-OU3003, B-S-OU3004;NO;99;51;Mammal;Bulk bone
BBO020BR3;Mamp007;BBO020BR3;BBO020;LU;2021;B-GR-OU4001, B-GR-OU4002, B-GR-OU4005, B-GR-OU4007, B-GR-OU4008, B-S-OU3003, B-S-OU3004;NO;99;51;Mammal;Bulk bone
BBO021NBR;Mamp007;BBO021NBR;BBO021;LU;2021;B-GR-OU4002, B-GR-OU4006, B-GR-OU4008, B-S-OU4005;NO;99;51;Unidentified;Bulk bone
BBO209BR1;Mamp007;BBO209BR1;BBO0209;K1;2022;"B-GR-OK1029-1 ; B-GR-OK1024-2 ; B-GR-OK1049-2";NO;99;53;Mammal;Bulk bone
BBO209BR2;Mamp007;BBO209BR2;BBO0209;K1;2022;"B-GR-OK1029-1 ; B-GR-OK1024-2 ; B-GR-OK1049-2";NO;99;53;Mammal;Bulk bone
BBO209BR3;Mamp007;BBO209BR3;BBO0209;K1;2022;"B-GR-OK1029-1 ; B-GR-OK1024-2 ; B-GR-OK1049-2";NO;99;53;Mammal;Bulk bone
BBO210BR1;Mamp007;BBO210BR1;BBO0210;L1;2022;"B-GR-OL1008-1 ; B-GR-OL1004-1 ; B-GR-OL1005-1";NO;99;53;Mammal;Bulk bone
BBO210BR2;Mamp007;BBO210BR2;BBO0210;L1;2022;"B-GR-OL1008-1 ; B-GR-OL1004-1 ; B-GR-OL1005-1";NO;99;53;Mammal;Bulk bone
BBO210BR3;Mamp007;BBO210BR3;BBO0210;L1;2022;"B-GR-OL1008-1 ; B-GR-OL1004-1 ; B-GR-OL1005-1";NO;99;53;Mammal;Bulk bone
BBO211NBR;Mamp007;BBO211NBR;BBO0211;L2;2022;B-GR-OL2011-4;NO;99;53;Mammal;Bulk bone
BBO213BR1;Mamp007;BBO213BR1;BBO213;LU;2022;"B-GR-OLU015-3 ; B-GR-OLU023-6 ; B-GR-OLU008-2 ; B-GR-OLU007-1";NO;99;53;Mammal;Bulk bone
BBO213BR2;Mamp007;BBO213BR2;BBO213;LU;2022;"B-GR-OLU015-3 ; B-GR-OLU023-6 ; B-GR-OLU008-2 ; B-GR-OLU007-1";NO;99;53;Mammal;Bulk bone
BBO213BR3;Mamp007;BBO213BR3;BBO213;LU;2022;"B-GR-OLU015-3 ; B-GR-OLU023-6 ; B-GR-OLU008-2 ; B-GR-OLU007-1";NO;99;53;Mammal;Bulk bone
BBO214BR1;Mamp007;BBO214BR1;BBO214;Y1;2022;"B-GR-OY1002-1 ; B-GR-OY1006-1 ; B-GR-OY1003-1 ; B-GR-OY1004-1";NO;99;53;Mammal;Bulk bone
BBO214BR2;Mamp007;BBO214BR2;BBO214;Y1;2022;"B-GR-OY1002-1 ; B-GR-OY1006-1 ; B-GR-OY1003-1 ; B-GR-OY1004-1";NO;99;53;Mammal;Bulk bone
BBO214BR3;Mamp007;BBO214BR3;BBO214;Y1;2022;"B-GR-OY1002-1 ; B-GR-OY1006-1 ; B-GR-OY1003-1 ; B-GR-OY1004-1";NO;99;53;Mammal;Bulk bone
BBO215BR1;Mamp007;BBO215BR1;BBO215;Y1;2022;"B-GR-OY1004-2 ; B-GR-OY1003-1 ; B-GR-OY1013-1 ; B-GR-OY1008-1 ; B-GR-OY1007-1 ; B-GR-OY1010-1 ; B-GR-OY1009-1 ; B-GR-OY1002-4 ; B-GR-OY1006-2 ; B-GR-OY1014-1 ; B-GR-OY1012-1 ; B-GR-OY1015-1";NO;99;53;Unidentified;Bulk bone
BBO215BR2;Mamp007;BBO215BR2;BBO215;Y1;2022;"B-GR-OY1004-2 ; B-GR-OY1003-1 ; B-GR-OY1013-1 ; B-GR-OY1008-1 ; B-GR-OY1007-1 ; B-GR-OY1010-1 ; B-GR-OY1009-1 ; B-GR-OY1002-4 ; B-GR-OY1006-2 ; B-GR-OY1014-1 ; B-GR-OY1012-1 ; B-GR-OY1015-1";NO;99;53;Unidentified;Bulk bone
BBO215BR3;Mamp007;BBO215BR3;BBO215;Y1;2022;"B-GR-OY1004-2 ; B-GR-OY1003-1 ; B-GR-OY1013-1 ; B-GR-OY1008-1 ; B-GR-OY1007-1 ; B-GR-OY1010-1 ; B-GR-OY1009-1 ; B-GR-OY1002-4 ; B-GR-OY1006-2 ; B-GR-OY1014-1 ; B-GR-OY1012-1 ; B-GR-OY1015-1";NO;99;53;Unidentified;Bulk bone
BBO216BR1;Mamp007;BBO216BR1;BBO216;Z1;2022;"B-GR-OZ1004-1 ; B-GR-OZ1027-1";NO;99;53;Unidentified;Bulk bone
BBO216BR2;Mamp007;BBO216BR2;BBO216;Z1;2022;"B-GR-OZ1004-1 ; B-GR-OZ1027-1";NO;99;53;Unidentified;Bulk bone
BBO217BR1;Mamp007;BBO217BR1;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentified;Bulk bone
BBO217BR2;Mamp007;BBO217BR2;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentified;Bulk bone
BBO217BR3;Mamp007;BBO217BR3;BBO217;KL;2022;"B-GR-OKL007-1 ; B-GR-OKL001-1 ; B-GR-OK1059-1";NO;99;53;Unidentified;Bulk bone
BBO218BR1;Mamp007;BBO218BR1;BBO218;K1;2022;"B-GR-OK1029 ; B-GR-OK1024-1 ; B-GR-OK1026-1 ; B-GR-OK1057-1";NO;99;53;Unidentified;Bulk bone
BBO218BR2;Mamp007;BBO218BR2;BBO218;K1;2022;"B-GR-OK1029 ; B-GR-OK1024-1 ; B-GR-OK1026-1 ; B-GR-OK1057-1";NO;99;53;Unidentified;Bulk bone
BBO218BR3;Mamp007;BBO218BR3;BBO218;K1;2022;"B-GR-OK1029 ; B-GR-OK1024-1 ; B-GR-OK1026-1 ; B-GR-OK1057-1";NO;99;53;Unidentified;Bulk bone
BBO219BR1;Mamp007;BBO219BR1;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentified;Bulk bone
BBO219BR2;Mamp007;BBO219BR2;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentified;Bulk bone
BBO219BR3;Mamp007;BBO219BR3;BBO219;L1;2022;"B-GR-OL1007-2 ; B-GR-OL1004-2 ; B-GR-OL1006-2 ; B-GR-OL1029-1 ; B-GR-OL1005-3 ; B-GR-OL1037-1 ; B-GR-OL1031-1 ; B-GR-OL1034-1 ; B-GR-OL1032-2 ; B-S-OL1001-1";NO;99;53;Unidentified;Bulk bone
BBO220BR1;Mamp007;BBO220BR1;BBO220;L2;2022;"B-GR-OL2009-2 ; B-GR-OL2011-1";NO;99;53;Unidentified;Bulk bone
BBO220BR2;Mamp007;BBO220BR2;BBO220;L2;2022;"B-GR-OL2009-2 ; B-GR-OL2011-1";NO;99;53;Unidentified;Bulk bone
BBO221BR1;Mamp007;BBO221BR1;BBO221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentified;Bulk bone
BBO221BR2;Mamp007;BBO221BR2;BBO221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentified;Bulk bone
BBO221BR3;Mamp007;BBO221BR3;BBO221;LU;2022;"B-GR-OLU008-1 ; B-GR-OLU017-1 ; B-GR-OLU016-1 ; B-GR-OLU014-1 ; B-GR-OLU018-1 ; B-GR-OLU001-1 ; B-GR-OLU007-2 ; B-GR-OLU020-1 ; B-GR-OLU015-1, B-GR-OLU023-1, B-GR-OLU005-1 ; B-GR-OLU010-1";NO;99;53;Unidentified;Bulk bone
BBO222NBR;Mamp007;BBO222NBR;BBO222;U1;2022;B-GR-OU1012;NO;99;53;Unidentified;Bulk bone
BBO223NBR;Mamp007;BBO223NBR;BBO223;U3;2022;"B-GR-OU3047-1 ; B-GR-OU3048-1";NO;99;53;Unidentified;Bulk bone
BBO224NBR;Mamp007;BBO224NBR;BBO224;U9;2022;B-GR-OU9001;NO;99;53;Unidentified;Bulk bone
BBO225NBR;Mamp007;BBO225NBR;BBO225;Q1;2022;B-GR-OQ1002-1;NO;99;53;Unidentified;Bulk bone
NOC013NBR;Mamp007;NOC013NBR;NOC013;K1;2022;B-S-OK1002;NO;98;51;Ursus sp.;Single bone
NOC039NBR;Mamp007;NOC039NBR;NOC039;Z1;2022;B-GR-OZ1005-2;NO;100;53;Lepus sp.;Single bone
NOC040NBR;Mamp007;NOC040NBR;NOC040;L1;2022;B-GR-OL1009-2;NO;98;52;Lepus sp.;Single bone
